,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery
0,AlTBAPy,87.33318214216928,93.939258357109,0.956225003178304,6.745275193553662,0.1253991166667704,-0.1253991166667704,0.0029663018735597,"[36511.68544902376, 5295.660342621116]","[[1201.0906696691588, 5421.8099147773], [992.5000835015189, 2525.9310645904866], [36511.68544902376, 5295.660342621116]]","[510.34389445396437, 237.39799997846254, 14.013146174644076, 5.88867581311114, 145.51802832189512, 107.5260441658515]",330.824403,"[[0, 101.325, 310.15, 0.1521], [1, 95.28777560495291, 310.15, 0.16096261604403148], [2, 90.18023033360882, 310.15, 0.16935850290990628], [3, 85.85075312847876, 310.15, 0.1772329945933608], [4, 82.17365859867611, 310.15, 0.1845515286374844], [5, 79.04465646576928, 310.15, 0.19129775829321227], [6, 76.37710229973379, 310.15, 0.19747093542180127], [7, 74.09889979589073, 310.15, 0.20308296902423317], [8, 72.14994691598082, 310.15, 0.2081554773635606], [9, 70.48003501767798, 310.15, 0.2127170530417614], [10, 69.04712382661074, 310.15, 0.21680086980656904], [11, 67.8159268568206, 310.15, 0.2204426873275323], [12, 66.75675215493847, 310.15, 0.22367925837104483], [13, 65.8445522403916, 310.15, 0.22654710993202323]]",45.53808532566551,323.89299099684376,203.3541873880424,53.03252781103403,34.13306350251481,12.024869266111244,100.44590537644687,2.8493452973376487,3.487204573169066,0.4402406138500481,6.745275193553664,589902.946405907,589902.946405907,351.3027031004388,5.337829791557857,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 162802053.8020395, 'Material': 14406865.585953359, 'VacuumPump': 1565537.959452364, 'CentrifugalCompressor': 62374927.48111714}","{'Fixed': 174733560.4016894, 'Adsorbent': 30910277.14526124, 'npv_CC': 49662564271.93605}","{'CAC_CAPEX': 29.601723686453493, 'CAC_FixedOPEX': 8.904318800219064, 'CAC_VariableOPEX': 14.781134006333987}",555.4685482636223,53.03252781103403,5.337829791557857,0.2412178085619566,3.825967745394737e-05,0.2411227058311306,5.684305337203083e-05,0.0271961346637506,2.3033978857505097,9.72379534324884e-08,0.4459551724266122,0.0013638986340537,6.320838986750637,0.506296189882421,5.810303690503033,0.0042391063651836,4.293013136538795e-05,0.0002688830615296,0.0028565994296658,4.8225393677284675e-11,3.845825396806118e-20,4.2592618284160836e-11,5.632775354665575e-12,2.341107903632955e-09,1.6966556422228506e-10,2.167052716026358e-09,6.061139047336739e-11,1.7830514031831892e-08,2.901199696914923e-09,0.0007466757168119,0.014932159722225,53.086055016948734,71.27943631827169
1,AlTCPP,91.27034200729943,96.0079087409766,1.6898062376448726,8.384139970798742,0.0867065218786347,-0.0867065218786347,0.0027896174009564,"[64016.81402425922, 6122.96261768587]","[[1293.8445534080815, 5897.806998995167], [1250.3699089973654, 3178.7399075261474], [64016.81402425922, 6122.96261768587]]","[725.5726260187896, 415.33193489449195, 15.181158116085976, 6.151594339099898, 176.42101492056324, 112.48692374854848]",328.23349650000006,"[[0, 101.325, 310.15, 0.1521], [1, 95.69421256486268, 310.15, 0.15982449053273304], [2, 90.89118919294758, 310.15, 0.1671292457018211], [3, 86.78291153910244, 310.15, 0.17398475174440958], [4, 83.25965548604641, 310.15, 0.18037426911122642], [5, 80.23062832351008, 310.15, 0.18629230154631557], [6, 77.62045767913244, 310.15, 0.19174282993686598], [7, 75.47421821248686, 310.15, 0.19681922609537375], [8, 73.60532192771973, 310.15, 0.20148563446761417], [9, 71.9719928178501, 310.15, 0.2057566580091155], [10, 70.54265265961588, 310.15, 0.20965187677077232], [11, 69.29029275207091, 310.15, 0.21319305440122802], [12, 68.19175905432935, 310.15, 0.216403234759098], [13, 67.22715626993912, 310.15, 0.21930600242962417], [14, 66.37935044415306, 310.15, 0.22192489585482636]]",52.2595328892761,276.9601214604243,172.62522100209276,38.65222806308611,27.7433527615063,10.234747586917743,91.65240926428062,1.9701639607231731,2.60445890592091,0.4274610746284101,8.384139970798744,591186.4494169041,591186.4494169041,324.5050274375778,3.790631163722154,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 132299918.2954195, 'Material': 11615945.414950384, 'VacuumPump': 1025374.6949330061, 'CentrifugalCompressor': 61265023.44269144}","{'Fixed': 149549025.91776603, 'Adsorbent': 24922290.69107283, 'npv_CC': 49770619420.94866}","{'CAC_CAPEX': 21.698660124821807, 'CAC_FixedOPEX': 6.627564185973519, 'CAC_VariableOPEX': 10.506841146396571}",597.3839635460797,38.65222806308611,3.790631163722154,0.1910579444639815,3.0310626638451665e-05,0.1909826129428025,4.502089454053624e-05,0.0215428047621427,1.824575051937955,7.706316041004999e-08,0.3532026473433378,0.0010806048955478,5.006108004457214,0.4010292521532606,4.601720019821324,0.0033587324826292,3.400065139256343e-05,0.0002131484848603,0.0022646681989493,3.8204207856023515e-11,3.047772639243148e-20,3.3735765513395647e-11,4.468442312150135e-12,1.8541697084079438e-09,1.3440793243439703e-10,1.7162762198202283e-09,4.801469144829549e-11,1.4122022980888293e-08,2.3402503435215013e-09,0.000591873337269,0.0118260197941029,38.68128771828794,77.66483504464009
2,AlTCPP-FF2,97.09673325017954,98.53964843875409,0.9434001677081402,7.130759142331349,0.1207737056858029,-0.1207737056858029,0.0025098774336745,"[35739.88055032803, 1068.649823439147]","[[241.05444620015464, 1181.580214340725], [119.72318237306015, 258.90610240260355], [35739.88055032803, 1068.649823439147]]","[476.2803701484901, 233.5934121635651, 3.603663383611064, 5.030463136066121, 135.99716214675263, 98.05566931849516]",328.23349650000006,"[[0, 101.325, 310.15, 0.1521], [1, 68.96126780115804, 310.15, 0.2200380113138394], [2, 62.53430040783679, 310.15, 0.24172409487808022], [3, 60.76888278108392, 310.15, 0.24846760792091277], [4, 60.238169102148746, 310.15, 0.25057050129584124], [5, 60.07424765444277, 310.15, 0.2512273772208993]]",1582.5050910855523,305.29485488564825,191.6864110561285,49.07023560179046,32.43041848777389,11.39377190398707,97.80230581596246,2.744245729037689,3.374250921455218,0.409516649035511,7.130759142331348,586838.0238953611,586838.0238953611,349.9836976778183,4.946368766292543,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 154410242.00923547, 'Material': 13557233.94086674, 'VacuumPump': 282602.80648951436, 'CentrifugalCompressor': 59052359.0652774}","{'Fixed': 164753659.21824184, 'Adsorbent': 29087371.9849176, 'npv_CC': 49404535536.70787}","{'CAC_CAPEX': 27.38246984074082, 'CAC_FixedOPEX': 8.231486241256944, 'CAC_VariableOPEX': 13.692253002663673}",566.319306636078,49.07023560179046,4.946368766292543,0.2295428532748527,3.641066334792018e-05,0.2294523531953453,5.408941615936502e-05,0.0258804514580807,2.192091270778956,9.255237303479565e-08,0.4243540819781309,0.0012982895928991,6.014635502588753,0.4818180162645759,5.528782995527864,0.004034490796312,4.084999223816717e-05,0.0002560830642983,0.0027208407139305,4.589437023216183e-11,3.6608639365916203e-20,4.052851023112455e-11,5.365859964428644e-12,2.227672918707969e-09,1.6146761027488015e-10,2.0620244534340958e-09,5.768047614249629e-11,1.6966970186742733e-08,2.7770995866499167e-09,0.0007110918263531,0.0142084801213126,49.11735335606426,75.92057637542158
3,Ca-SQA,97.02250639229648,98.30860930078128,1.1725976458914027,4.082100545293922,0.1042943969790901,-0.1042943969790901,0.0025405703198333,"[85098.94282760077, 2611.575063490894]","[[728.8073571742077, 3223.7313028916324], [661.6660857263054, 1417.6361473957547], [85098.94282760077, 2611.575063490894]]","[1034.1125796315, 557.7107116057399, 8.745002766906115, 9.401662496370767, 277.2433939713078, 181.01180879117533]",628.7831550000001,"[[0, 101.325, 310.15, 0.1521], [1, 90.03206241607302, 310.15, 0.17006335029088676], [2, 82.0278615425568, 310.15, 0.1857353080526523], [3, 76.28259996016926, 310.15, 0.1989739443059344], [4, 72.11255563605431, 310.15, 0.20987892051749918], [5, 69.05678870084057, 310.15, 0.21868996799673374], [6, 66.79960695548277, 310.15, 0.22570586258863717], [7, 65.12138532028303, 310.15, 0.23123117863934242], [8, 63.86704782170254, 310.15, 0.23554673584161473], [9, 62.925608933529595, 310.15, 0.23889650375099147], [10, 62.21669236888471, 310.15, 0.2414844738196153]]",152.90926553803266,299.9864237526608,208.82484128028497,44.64992727193664,30.835381844469698,11.641538390062625,95.117296441428,2.369799385116273,3.0005033449671643,0.4105710142247008,4.08210054529392,585249.3217082086,585249.3217082086,342.31941409204177,4.318945894232305,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 140421254.0231392, 'Material': 23618147.64188267, 'VacuumPump': 396345.4758382074, 'CentrifugalCompressor': 58914382.549286634}","{'Fixed': 161905114.7281055, 'Adsorbent': 50673304.676353835, 'npv_CC': 49270786375.15658}","{'CAC_CAPEX': 24.702069394516997, 'CAC_FixedOPEX': 7.539756678128724, 'CAC_VariableOPEX': 12.61414259109702}",583.6397790055403,44.64992727193664,4.318945894232305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CALF20,95.42541966366991,97.85417025082164,0.9877402730503902,3.997729965062156,0.0998096266599126,-0.0998096266599126,0.0025979871022832,"[73769.1413572412, 3536.4042900747922]","[[820.7575070367006, 3691.5424983351577], [696.5350634754549, 1667.6640841918759], [73769.1413572412, 3536.4042900747922]]","[889.4710283229745, 480.204565930893, 9.902346037853897, 7.799863448636924, 240.64644994122017, 150.9178029643704]",647.079615,"[[0, 101.325, 310.15, 0.1521], [1, 91.45356322192502, 310.15, 0.16629266565990966], [2, 84.14808598595465, 310.15, 0.17884286365470614], [3, 78.67181074019639, 310.15, 0.18971109389087543], [4, 74.52183491885069, 310.15, 0.19896422017202495], [5, 71.34802270866001, 310.15, 0.20673545857529574], [6, 68.90213982195206, 310.15, 0.2131914919161363], [7, 67.00526006448278, 310.15, 0.21850878488535835], [8, 65.52646902643261, 310.15, 0.22285835389226516], [9, 64.36869129574552, 310.15, 0.22639713536564637], [10, 63.459090469890214, 310.15, 0.22926398217452082], [11, 62.742454466535484, 310.15, 0.23157863747244042]]",106.28407977746,302.0285132823453,211.2355485077791,43.617682948925264,30.42518606910601,11.661830262320718,94.76788214996267,2.267895483731183,2.899242757503301,0.4148371216391469,3.997729965062156,589215.5275145664,589215.5275145664,333.94155376792844,4.18007671845056,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 140274759.7314033, 'Material': 24280036.73054705, 'VacuumPump': 524786.8308099065, 'CentrifugalCompressor': 59790951.73969619}","{'Fixed': 163000915.48965257, 'Adsorbent': 52093403.65957667, 'npv_CC': 49604692065.87073}","{'CAC_CAPEX': 24.146170986186892, 'CAC_FixedOPEX': 7.4029433153767785, 'CAC_VariableOPEX': 12.26798508971063}",586.4050735049142,43.617682948925264,4.18007671845056,0.2051524044782643,3.269098761743762e-05,0.2050713567113738,4.8356779273057056e-05,0.0231669435123038,1.9613676320373088,8.367353595763797e-08,0.3792430433834768,0.001162738682593,5.3731445387506245,0.4308148837854422,4.938704201885668,0.0036254530795142,3.649576529069103e-05,0.0002301926101916,0.0024470208871367,4.1092410477310225e-11,3.2974697517202566e-20,3.624576382893725e-11,4.846646615398279e-12,1.9908853165123743e-09,1.4455508312643696e-10,1.8424642528369081e-09,5.167509327856863e-11,1.5159012771377567e-08,3.0834540492521474e-09,0.000638995576144,0.0126917304386356,43.67906190934188,77.77915193564014
5,CAU10,89.02019537146748,95.9988095135488,1.4601986902931925,5.595181397348708,0.0976640835997854,-0.0976640835997854,0.0028943583742623,"[79226.5323675633, 9771.848322305175]","[[1360.9978294811344, 6493.321730840029], [1809.6616042194498, 5181.659335484136], [79226.5323675633, 9771.848322305175]]","[939.5075712016061, 501.5881445329991, 16.32658980096191, 9.047995048596604, 241.8638165742384, 170.68102524481012]",470.093715,"[[0, 101.325, 310.15, 0.1521], [1, 96.40190265766157, 310.15, 0.15771430184971144], [2, 92.14617507520953, 310.15, 0.1629866854448304], [3, 88.45247924714515, 310.15, 0.1679196519660506], [4, 85.23474829306566, 310.15, 0.17251955648890635], [5, 82.42219586350538, 310.15, 0.1767958401632329], [6, 79.95623721292615, 310.15, 0.18076032973746323], [7, 77.78809652229039, 310.15, 0.1844266149234541], [8, 75.87693459466004, 310.15, 0.18780950760544513], [9, 74.18837395019052, 310.15, 0.19092458207852264], [10, 72.69332949043906, 310.15, 0.1937877921625473], [11, 71.36707567461934, 310.15, 0.19641515892359088], [12, 70.18849792159577, 310.15, 0.19882252158276553], [13, 69.1394883890297, 310.15, 0.20102534375719058], [14, 68.20445556757272, 310.15, 0.20303856724905125]]",43.02360579568495,301.23274046547346,198.0089603701616,42.940210824816965,29.901281609342128,11.063755788502649,95.3839869065404,2.2191439997406364,2.8537499090273504,0.4325627679609065,5.595181397348708,605827.697560391,605827.697560391,308.5356424286013,4.20380555632214,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 141849246.450115, 'Material': 17837071.999415565, 'VacuumPump': 1084675.3034455173, 'CentrifugalCompressor': 63507061.26112209}","{'Fixed': 162573897.74823096, 'Adsorbent': 38269867.63168508, 'npv_CC': 51003232228.49168}","{'CAC_CAPEX': 23.922437558028232, 'CAC_FixedOPEX': 7.28489509093062, 'CAC_VariableOPEX': 11.933426635810724}",580.8497518379082,42.940210824816965,4.20380555632214,0.2056727876796373,3.268952564731006e-05,0.2055916211345148,4.847701947511936e-05,0.0232122478289938,1.9648380718827696,8.329885937788223e-08,0.3802645610329153,0.0011628865899465,5.388997976480713,0.4316973078554688,4.95367732968238,0.0036233389428618,3.660419138543501e-05,0.0002292665487724,0.0024356552048002,4.1165696886838606e-11,3.288029923963779e-20,3.635654438965592e-11,4.809152464302379e-12,1.9965578847286632e-09,1.4475825386799946e-10,1.847982015372968e-09,5.1756978569563616e-11,1.5202081346636662e-08,2.853140664540068e-09,0.0006366951509024,0.0127310081507833,42.9830188618468,76.25446674697073
6,CAU21,78.47268754146424,91.2953317483128,0.2022931360609195,1.9419966829466704,0.452438033823584,-0.4524380338235842,0.0033003868680027,"[11008.782682588086, 3020.025336470963]","[[559.630588046582, 2624.626209783763], [305.66651884374227, 865.2154549860009], [11008.782682588086, 3020.025336470963]]","[375.00336443124047, 68.5362316940776, 7.176018199243264, 7.430941540841948, 146.99586047621494, 144.86431252086268]",471.502395,"[[0, 101.325, 310.15, 0.1521], [1, 86.94802318697234, 310.15, 0.1701091872897179], [2, 77.90709785296796, 310.15, 0.18432253256957773], [3, 72.0642010725298, 310.15, 0.19512170870260853], [4, 68.20855614174592, 310.15, 0.20311074650551517], [5, 65.62458441690858, 310.15, 0.20891247429232912], [6, 63.873227942971525, 310.15, 0.21307222277572901], [7, 62.67654318215995, 310.15, 0.2160284940738736], [8, 61.854130775965636, 310.15, 0.21811670182377974], [9, 61.28662418598918, 310.15, 0.21958552969213824]]",40.66665942825406,741.0696461249462,3132.7674193889857,2241.6182390015465,117.26173877764272,77.77269272496802,254.48884581235816,10.280392863034686,10.9242693352033,0.465625844700723,1.9419966829466704,424399.34550987673,616090.931802869,949.936674650468,141.823029613697,"(1271.3624854632008, 26701.516502028935, 3271.006735671889)","{'ShellAndTubePackedColumn': 414370618.6841314, 'Material': 52261869.88466441, 'VacuumPump': 2328857.2959576095, 'CentrifugalCompressor': 68214478.70616977, 'SteamBoiler': 10652470.044318436, 'ForcedDraughtCoolingTower': 3923346.3453762485}","{'Fixed': 398593724.093761, 'Electricity': 107033066.25595172, 'Heat': 2247938898.287379, 'Makeup-water': 275378489.3497766, 'Adsorbent': 112129100.71428697, 'npv_CC': 51867270174.58167}","{'CAC_CAPEX': 711.8794568230778, 'CAC_FixedOPEX': 222.45737670158115, 'CAC_VariableOPEX': 1312.8777322578183}",379.6476260072977,2241.6182390015465,141.823029613697,0.7429611688418506,0.0001076959693587,0.742733726945385,0.000119745927107,0.0531675890020508,8.881555270381428,2.262750363182826e-07,0.9750868965069436,0.0028514347177956,13.762553378870816,1.8692407485179623,11.87697570217888,0.0163369281739705,8.327820928275024e-05,0.0005596264772004,0.0059425145317602,1.2436103596834742e-10,1.5679441895207858e-19,8.747702823486905e-11,3.6884007576683936e-11,4.968176474731966e-09,5.184929624080641e-10,4.431725189972317e-09,1.5791231799564128e-10,3.4592822088004275e-08,3.7693480916690845e-08,0.0016667767380004,0.0287832630598581,2336.3961463402,23.46644536278181
7,CuAlPyC,94.58932518070267,97.54021463937804,1.1695802552797254,4.376826043136701,0.1028221792238188,-0.1028221792238188,0.0026482111793109,"[79165.24494105738, 4528.390455770698]","[[872.1162675889763, 4053.415186091268], [1030.2168805147724, 2595.4872462370336], [79165.24494105738, 4528.390455770698]]","[961.9959480933626, 503.92322791947316, 10.70102479368099, 8.784061783881997, 261.98467449657255, 176.60295909975397]",586.449045,"[[0, 101.325, 310.15, 0.1521], [1, 92.39925786939106, 310.15, 0.16307593949561813], [2, 85.64476456473137, 310.15, 0.1727763486479202], [3, 80.45150613926977, 310.15, 0.1812483860211869], [4, 76.40477042545258, 310.15, 0.18857135506951192], [5, 73.22141507191202, 310.15, 0.19484646823257573], [6, 70.69738367785315, 310.15, 0.20018553442481574], [7, 68.68292337520629, 310.15, 0.20470177591586416], [8, 67.06634976612472, 310.15, 0.20850381871395], [9, 65.7631757199493, 310.15, 0.2116921378348269], [10, 64.7086834768109, 310.15, 0.21435727592064263], [11, 63.85275349408382, 310.15, 0.21657926803633476]]",107.30334215824622,307.9441659919079,211.2294586962815,44.39257533435071,30.691667233700315,11.545355827491308,96.14194199844894,2.336347341360761,2.9681588182953904,0.4172234716189081,4.376826043136702,602553.9287482597,602553.9287482597,315.2233569795018,4.303475826917672,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 144571563.32540652, 'Material': 22679070.348900437, 'VacuumPump': 621877.2966168983, 'CentrifugalCompressor': 61402429.378794685}","{'Fixed': 166175299.6926744, 'Adsorbent': 48658491.723895684, 'npv_CC': 50727621206.315056}","{'CAC_CAPEX': 24.608479365183673, 'CAC_FixedOPEX': 7.509778531819225, 'CAC_VariableOPEX': 12.479620807822132}",578.912114567071,44.39257533435071,4.303475826917672,0.2092740501474267,3.3643888251507696e-05,0.2091908017093821,4.960454979313918e-05,0.0236666948238519,2.000358846760117,1.630633025144195e-07,0.3881118288541887,0.0011880848562789,5.510247013711951,0.4424012069505137,5.0641122355062,0.0037335712552372,3.7486182527265336e-05,0.0002343671078288,0.0024913009021196,4.2501485655360407e-11,3.3845582017731633e-20,3.756381114625949e-11,4.9376744752553165e-12,2.0734136932476867e-09,1.4760010249581835e-10,1.919842407605928e-09,5.4737092494916014e-11,1.5470104797705106e-08,3.006774842777909e-09,0.0006508158999509,0.0129583750149958,44.45267621935408,77.12757886954608
8,CuAlPyC-FF2,91.22052272082048,96.92282947515652,0.9131515573030636,4.028381047345526,0.1195763645408598,-0.1195763645408598,0.0027663292651725,"[61808.38499613321, 5948.719603340714]","[[867.7806652668909, 4030.507935182385], [969.2243212178122, 2571.130936244442], [61808.38499613321, 5948.719603340714]]","[816.0463391260375, 386.68032674580223, 10.675811764297269, 8.708738552348914, 234.63064562028734, 175.3508164433017]",586.449045,"[[0, 101.325, 310.15, 0.1521], [1, 91.86224148825164, 310.15, 0.16351807218975362], [2, 85.17733346302224, 310.15, 0.17317988416208874], [3, 80.1106482948028, 310.15, 0.18146582432705227], [4, 76.19954481461441, 310.15, 0.1885389022463931], [5, 73.13646384990697, 310.15, 0.19455360686287004], [6, 70.70960753793507, 310.15, 0.19965226614605402], [7, 68.7687842981344, 310.15, 0.2039632667974636], [8, 67.20483079607047, 310.15, 0.20760058317290134], [9, 65.93672900234068, 310.15, 0.21066416040932717], [10, 64.9032703384142, 310.15, 0.21324080906032644], [11, 64.05750460735787, 310.15, 0.2154053686985752]]",67.75949022883665,334.7647917259519,230.3742657297353,50.934424932025024,33.53801063845852,12.349792282647138,101.16029636397523,2.7170394898604373,3.3497957555508027,0.4255798025486104,4.028381047345526,613085.5199766282,613085.5199766282,309.12110323075785,5.000494328109751,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 159822071.6085248, 'Material': 25071431.21333156, 'VacuumPump': 799769.8420373343, 'CentrifugalCompressor': 63550538.8138353}","{'Fixed': 180567451.2988164, 'Adsorbent': 53791359.585392386, 'npv_CC': 51614251506.18259}","{'CAC_CAPEX': 28.165708491300787, 'CAC_FixedOPEX': 8.533551349908043, 'CAC_VariableOPEX': 14.473720709782908}",556.2707531915146,50.934424932025024,5.000494328109751,0.2315737702430863,3.721534178772294e-05,0.2314816705079448,5.488439335378066e-05,0.0261856738533158,2.2134678439904887,1.7883234076511542e-07,0.4294481355693088,0.0013146101800729,6.096990380812814,0.4894873466771938,5.603373395701619,0.0041296384340012,4.14762164821692e-05,0.0002593226650891,0.0027565520595299,4.7012676689953625e-11,3.7435778077555924e-20,4.155197649812528e-11,5.460700154392558e-12,2.293514161237989e-09,1.6330840342404356e-10,2.1236473162109233e-09,6.052171928131019e-11,1.7118819098061512e-08,3.2886905770267947e-09,0.000720112373329,0.0143393798922408,51.01310683174842,74.47804443096679
9,DAZMID,40.80397626576269,80.29782227678756,0.0323505209020921,0.3992407453959822,2.6099352728166614,-2.6099352728166614,0.0061847782844877,"[1747.1196831365255, 2534.619115448351]","[[199.2090954581053, 1153.9795108278006], [24.35456111062983, 166.38683077575712], [1747.1196831365255, 2534.619115448351]]","[291.70839046505705, 8.021345171367983, 3.4639262438760574, 7.054418011837766, 134.6991435240393, 138.46955751393597]",467.915175,"[[0, 101.325, 310.15, 0.1521], [1, 67.85218516985684, 310.15, 0.1278197451080371], [2, 61.66381490817122, 310.15, 0.12288515436583454], [3, 60.35901931739105, 310.15, 0.12181659468533232], [4, 60.07777629152522, 310.15, 0.12158489353632856]]",105.42750285574428,4629.665363767596,50400.0538208947,-221.16429330013665,829.8084497059929,796.6476467535849,2183.599810756854,59.30350223851645,59.981323692839744,0.5698739552017374,0.3992407453959821,-2687909.069845373,835412.9272399959,10617.761603172954,-6.057673791470924,"(18134.22303763253, 496217.9142614052, 46656.37564463851)","{'ShellAndTubePackedColumn': 2754074775.9062243, 'Material': 344710843.514283, 'VacuumPump': 7054838.092347983, 'CentrifugalCompressor': 109552883.76483865, 'SteamBoiler': 197964279.1720139, 'ForcedDraughtCoolingTower': 33586232.82292296}","{'Fixed': 2485243739.5805273, 'Electricity': 1526678282.614238, 'Heat': 41775438163.24007, 'Makeup-water': 3927892322.3975434, 'Adsorbent': 739585418.1073194, 'npv_CC': 70331481552.07637}","{'CAC_CAPEX': -25.779044384526593, 'CAC_FixedOPEX': -10.302489190306455, 'CAC_VariableOPEX': -185.14828114494398}",327.08867919070013,211940.29329679013,5805.029107109638,4.588631559022171,0.0005870286004493,4.587721694784695,0.000322835637029,0.0974153737046845,68.2939630813683,8.356195743926886e-07,3.022852734033301,0.007455303732788,42.06811579556494,13.87868945011091,28.064046383052357,0.1253799624016722,0.0001459302524977,0.0014350951489775,0.0152077685825742,5.854711538629717e-10,1.2547599805410293e-18,2.1054275519122327e-10,3.7492839741698856e-10,1.3800024074286466e-08,3.1704171248344462e-09,1.0487423064917976e-08,7.565974918148473e-10,6.068569351146208e-08,4.3830528881591043e-07,0.0055292475266687,0.0482619329176134,-220.55688979913725,-288.15929914323334
10,ddmof_16520,98.16497700632388,99.1319453078961,1.0032250123504494,3.857050168894391,0.1020210094654903,-0.1020210094654903,0.0024822031083824,"[77661.05440057097, 1451.7379302090624]","[[370.80112322572876, 1703.8509441349747], [251.64539110462704, 528.9990679600901], [77661.05440057097, 1451.7379302090624]]","[936.365846000098, 510.34802987154194, 4.868528206487301, 7.809533222822127, 261.94555553087304, 151.39419916837363]",670.7036700000001,"[[0, 101.325, 310.15, 0.1521], [1, 79.1847981423743, 310.15, 0.1917470336697356], [2, 69.42548053781472, 310.15, 0.2170521226384015], [3, 64.78842463230534, 310.15, 0.23167830848484786], [4, 62.478339843316476, 310.15, 0.23975353504845381], [5, 61.29568110390067, 310.15, 0.2441169292891164], [6, 60.68103689110093, 310.15, 0.24644999347625496]]",572.586873386676,298.8471512198505,210.8166125090904,43.90935983058321,30.554134207480864,11.685510250430626,94.57368620427675,2.318142992367389,2.9477921001371445,0.4067443260302114,3.857050168894391,583663.5602834739,583663.5602834739,343.01998404440496,4.213778887582919,"(0.0, 0, 0)","{'ShellAndTubePackedColumn': 138948266.69854796, 'Material': 24928486.046648342, 'VacuumPump': 205035.4446000115, 'CentrifugalCompressor': 58420114.22135392}","{'Fixed': 161293772.42850706, 'Adsorbent': 53484667.28703, 'npv_CC': 49137284789.58958}","{'CAC_CAPEX': 24.269230930095755, 'CAC_FixedOPEX': 7.4311281803266604, 'CAC_VariableOPEX': 12.410024971916332}",587.070718855409,43.90935983058321,4.213778887582919,0.2062982587446829,3.286792725570799e-05,0.2062167633509287,4.8627466498466735e-05,0.0232953116379629,1.9717415469161843,8.41012446444637e-08,0.3813603727172226,0.0011682507268781,5.403235351284021,0.4331206515734226,4.966470096214878,0.0036446034957209,3.670118649279429e-05,0.0002309935898885,0.0024550362922972,4.1310252765747066e-11,3.31336319812037e-20,3.6449278762584034e-11,4.860973970029397e-12,2.002010429660072e-09,1.453236311551181e-10,1.8527998011878551e-09,5.1960935070160294e-11,1.5243553697519705e-08,3.1081949841805597e-09,0.0006413031135574,0.0127635172473541,43.97132455346348,78.68119760490399
